Tipo;Coluna1;Coluna2;Coluna3;Coluna4;Coluna5;Coluna6;Coluna7;Coluna8;Coluna9
GESTOR;backoffice@issmf.ipp.pt;admin123;Admin Principal;123456789;Rua Central;01-01-1980
DEPARTAMENTO;DEI;Departamento de Engenharia Informatica
DEPARTAMENTO;DGE;Departamento de Gestao e Economia
DOCENTE;ABC;abc@issmf.ipp.pt;prof123;Antonio Bernardo Costa;111222333;Rua A;01-01-1970
DOCENTE;XYZ;xyz@issmf.ipp.pt;prof123;Xavier Ygor Zeca;444555666;Rua B;02-02-1975
DOCENTE;MNO;mno@issmf.ipp.pt;prof123;Maria Nogueira Oliveira;777888999;Rua C;03-03-1980
CURSO;LEI;Licenciatura em Engenharia Informatica;DEI
CURSO;LGE;Licenciatura em Gestao de Empresas;DGE
UC;P1;Programacao I;1;ABC;LEI
UC;ALGA;Algebra Linear;1;XYZ;LEI
UC;AM1;Analise Matematica I;1;MNO;LEI
UC;AC;Arquitetura de Computadores;1;ABC;LEI
UC;P2;Programacao II;2;ABC;LEI
UC;BD;Base de Dados;2;XYZ;LEI
UC;RC;Redes de Computadores;2;MNO;LEI
UC;SO;Sistemas Operativos;2;ABC;LEI
UC;IA;Inteligencia Artificial;3;ABC;LEI
UC;AS;Arquitetura de Software;3;XYZ;LEI
UC;PDM;Programacao Dispositivos Moveis;3;MNO;LEI
UC;PROJ;Projeto Final LEI;3;ABC;LEI
UC;ECO1;Economia I;1;MNO;LGE
UC;GEST;Gestao de Empresas;1;XYZ;LGE
UC;MAT;Matematica Aplicada;1;ABC;LGE
UC;ECO2;Economia II;2;MNO;LGE
UC;MKT;Marketing;2;XYZ;LGE
UC;FIN;Financas;2;ABC;LGE
UC;STRAT;Estrategia Empresarial;3;MNO;LGE
UC;HR;Recursos Humanos;3;XYZ;LGE
UC;PROJG;Projeto Final Gestao;3;ABC;LGE
ESTUDANTE;20260001;20260001@issmf.ipp.pt;aluno123;Joao Silva;123123123;Rua Um;01-01-2005;2026;LEI
ESTUDANTE;20260002;20260002@issmf.ipp.pt;aluno123;Ana Santos;234234234;Rua Dois;02-02-2005;2026;LEI
ESTUDANTE;20260003;20260003@issmf.ipp.pt;aluno123;Pedro Costa;345345345;Rua Tres;03-03-2004;2026;LGE
ESTUDANTE;20260004;20260004@issmf.ipp.pt;aluno123;Sofia Oliveira;456456456;Rua Quatro;04-04-2005;2026;LGE
ESTUDANTE;20260005;20260005@issmf.ipp.pt;trwadf12;Levi Conde;123456784;Santa Maria;02-10-2000;2026;LEI
HISTORICO;20260001;P1;2027;10.0;0.0;0.0
HISTORICO;20260001;AM1;2028;9.0;0.0;0.0
HISTORICO;20260002;P1;2027;12.0;0.0;0.0
HISTORICO;20260002;AM1;2028;8.0;0.0;0.0
HISTORICO;20260005;P1;2027;18.0;15.0;14.0
HISTORICO;20260005;ALGA;2028;16.0;0.0;0.0
HISTORICO;20260005;AC;2028;15.0;0.0;0.0
HISTORICO;20260005;AM1;2028;7.0;0.0;0.0
