TIPO;EMAIL;PASSWORD
GESTOR;backoffice@issmf.ipp.pt;240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9
GESTOR;backoffice_ovar@issmf.ipp.pt;729b0257787ff8d59036ad621f3b72f0af2cc113b169e31401a97a540df60fa2
GESTOR;backoffice_brandão@issmf.ipp.pt;d00073526e611ff913fc9676a75529b0d5a634995084e45da959d4e2a24f3591
DOCENTE;ppa@issmf.ipp.pt;daaa19df6c0cedc88c01a5cd877c8b67659792b6607f54d48daec23d7a6ad36f
DOCENTE;pll@issmf.ipp.pt;92deab3e81c3e1fe87ccf7e1993bfea16eb56250a700eb0021bf9d62fd3529a0
DOCENTE;pye@issmf.ipp.pt;638ea3bce082d7d5c7ed70e2b51392ce13ffc003cde495e32a6edccbcb13ea64
DOCENTE;phe@issmf.ipp.pt;2933c4f6446e9817c79c4b12b4d8dfd33fe4e3547bb81617d86e219542fd718d
DOCENTE;phh@issmf.ipp.pt;0938a882f7e3377dfff0c804adae1da0e2e7147cfda4732f2f0e7d22d17141ec
DOCENTE;ptv@issmf.ipp.pt;ea538ded6aad10f74a1cf3571923fb1afad57afdaf6f826c070ac2410be082c0
ESTUDANTE;20260001@issmf.ipp.pt;8e38f7f593fc464fd39802552198920d4621cd82d420cb6f45d481a743ff4206
ESTUDANTE;20260002@issmf.ipp.pt;b8b3ec82c0d55fe30f27494340ca95a981a4be80617f6d003bfbe22cef434d74
ESTUDANTE;20260003@issmf.ipp.pt;a6d8af50c5964ee9a1d4db6e3ff560d3c2d13e71a6ea1bdcc1c9699003bf5660
ESTUDANTE;20260004@issmf.ipp.pt;c9c774b5c56ca61fd62d77fb06fe65add0622194619e38e0bb3db8057a9ef569
ESTUDANTE;20260005@issmf.ipp.pt;3a0dec5aa5a5cbdbb27057e575a5b38ca7b22d33776c401f39a5cd6227869ef2
ESTUDANTE;20260006@issmf.ipp.pt;3aed13df9cb0f3955394b0080a47e9f6b3299d1ba1a9fa01aea6f2bb28010fc8
ESTUDANTE;20260007@issmf.ipp.pt;0ebcd5e0411bfda08cad8b4e3bd6bcd387f37740d7520a78a6dbf345aa23b59d
ESTUDANTE;20260008@issmf.ipp.pt;e2dce7e216455644ec60ff5f2bd09ba54b7c7b97d11c0ec602c41ded9a0f77d0
